n,threads,time
5000000,3,0.033000
5000000,6,0.034000
5000000,12,0.018000
5000000,24,0.009000
5000000,48,0.015000
5000000,96,0.021000
10000000,3,0.054000
10000000,6,0.034000
10000000,12,0.032000
10000000,24,0.021000
10000000,48,0.020000
10000000,96,0.044000
15000000,3,0.072000
15000000,6,0.049000
15000000,12,0.026000
15000000,24,0.026000
15000000,48,0.028000
15000000,96,0.032000
20000000,3,0.092000
20000000,6,0.063000
20000000,12,0.040000
20000000,24,0.040000
20000000,48,0.027000
20000000,96,0.039000
25000000,3,0.120000
25000000,6,0.064000
25000000,12,0.042000
25000000,24,0.043000
25000000,48,0.054000
25000000,96,0.056000
30000000,3,0.132000
30000000,6,0.073000
30000000,12,0.052000
30000000,24,0.048000
30000000,48,0.052000
30000000,96,0.056000
35000000,3,0.155000
35000000,6,0.084000
35000000,12,0.054000
35000000,24,0.051000
35000000,48,0.048000
35000000,96,0.064000
40000000,3,0.178000
40000000,6,0.091000
40000000,12,0.056000
40000000,24,0.055000
40000000,48,0.065000
40000000,96,0.071000
45000000,3,0.194000
45000000,6,0.117000
45000000,12,0.064000
45000000,24,0.069000
45000000,48,0.060000
45000000,96,0.062000
50000000,3,0.212000
50000000,6,0.126000
50000000,12,0.073000
50000000,24,0.061000
50000000,48,0.082000
50000000,96,0.072000
55000000,3,0.252000
55000000,6,0.132000
55000000,12,0.075000
55000000,24,0.056000
55000000,48,0.061000
55000000,96,0.082000
60000000,3,0.257000
60000000,6,0.164000
60000000,12,0.091000
60000000,24,0.070000
60000000,48,0.084000
60000000,96,0.089000
65000000,3,0.284000
65000000,6,0.168000
65000000,12,0.098000
65000000,24,0.056000
65000000,48,0.066000
65000000,96,0.084000
70000000,3,0.290000
70000000,6,0.155000
70000000,12,0.093000
70000000,24,0.073000
70000000,48,0.072000
70000000,96,0.084000
75000000,3,0.320000
75000000,6,0.167000
75000000,12,0.099000
75000000,24,0.083000
75000000,48,0.084000
75000000,96,0.090000
80000000,3,0.331000
80000000,6,0.177000
80000000,12,0.111000
80000000,24,0.090000
80000000,48,0.083000
80000000,96,0.083000
85000000,3,0.354000
85000000,6,0.209000
85000000,12,0.109000
85000000,24,0.063000
85000000,48,0.084000
85000000,96,0.087000
90000000,3,0.385000
90000000,6,0.200000
90000000,12,0.128000
90000000,24,0.067000
90000000,48,0.092000
90000000,96,0.102000
95000000,3,0.405000
95000000,6,0.232000
95000000,12,0.144000
95000000,24,0.099000
95000000,48,0.081000
95000000,96,0.104000
100000000,3,0.419000
100000000,6,0.237000
100000000,12,0.177000
100000000,24,0.102000
100000000,48,0.097000
100000000,96,0.104000
5000000,3,0.035000
5000000,6,0.021000
5000000,12,0.013000
5000000,24,0.009000
5000000,48,0.016000
5000000,96,0.019000
10000000,3,0.069000
10000000,6,0.042000
10000000,12,0.037000
10000000,24,0.021000
10000000,48,0.021000
10000000,96,0.027000
15000000,3,0.075000
15000000,6,0.054000
15000000,12,0.042000
15000000,24,0.018000
15000000,48,0.037000
15000000,96,0.028000
20000000,3,0.119000
20000000,6,0.052000
20000000,12,0.033000
20000000,24,0.041000
20000000,48,0.028000
20000000,96,0.054000
25000000,3,0.123000
25000000,6,0.092000
25000000,12,0.049000
25000000,24,0.032000
25000000,48,0.032000
25000000,96,0.052000
30000000,3,0.130000
30000000,6,0.087000
30000000,12,0.047000
30000000,24,0.052000
30000000,48,0.048000
30000000,96,0.048000
35000000,3,0.157000
35000000,6,0.085000
35000000,12,0.050000
35000000,24,0.066000
35000000,48,0.037000
35000000,96,0.065000
40000000,3,0.179000
40000000,6,0.097000
40000000,12,0.056000
40000000,24,0.055000
40000000,48,0.074000
40000000,96,0.057000
45000000,3,0.199000
45000000,6,0.130000
45000000,12,0.061000
45000000,24,0.061000
45000000,48,0.058000
45000000,96,0.071000
50000000,3,0.220000
50000000,6,0.113000
50000000,12,0.082000
50000000,24,0.069000
50000000,48,0.061000
50000000,96,0.068000
55000000,3,0.237000
55000000,6,0.125000
55000000,12,0.073000
55000000,24,0.074000
55000000,48,0.072000
55000000,96,0.086000
60000000,3,0.261000
60000000,6,0.144000
60000000,12,0.080000
60000000,24,0.054000
60000000,48,0.068000
60000000,96,0.071000
65000000,3,0.283000
65000000,6,0.163000
65000000,12,0.084000
65000000,24,0.049000
65000000,48,0.068000
65000000,96,0.070000
70000000,3,0.298000
70000000,6,0.166000
70000000,12,0.102000
70000000,24,0.060000
70000000,48,0.085000
70000000,96,0.091000
75000000,3,0.330000
75000000,6,0.188000
75000000,12,0.097000
75000000,24,0.080000
75000000,48,0.067000
75000000,96,0.097000
80000000,3,0.331000
80000000,6,0.188000
80000000,12,0.113000
80000000,24,0.101000
80000000,48,0.101000
80000000,96,0.095000
85000000,3,0.357000
85000000,6,0.201000
85000000,12,0.109000
85000000,24,0.103000
85000000,48,0.101000
85000000,96,0.103000
90000000,3,0.377000
