n,row-seq,col-seq,row-par-3,row-par-6,row-par-12,row-par-24,row-par-48,row-par-96,col-par-3,col-par-6,col-par-12,col-par-24,col-par-48,col-par-96
1000,0.019000,0.020000,0.019000,0.010000,0.011000,0.008000,0.009000,0.011000,0.020000,0.010000,0.010000,0.012000,0.010000,0.011000
10000,1.900000,2.899000,0.738000,0.410000,0.260000,0.205000,0.190000,0.275000,0.847000,0.501000,0.291000,0.220000,0.218000,0.212000
1500,0.043000,0.043000,0.031000,0.031000,0.019000,0.015000,0.016000,0.014000,0.028000,0.021000,0.018000,0.013000,0.026000,0.030000
2000,0.075000,0.078000,0.040000,0.037000,0.026000,0.022000,0.039000,0.021000,0.039000,0.029000,0.046000,0.023000,0.035000,0.024000
2500,0.117000,0.123000,0.059000,0.049000,0.034000,0.027000,0.027000,0.039000,0.059000,0.063000,0.053000,0.060000,0.056000,0.025000
3000,0.168000,0.180000,0.094000,0.108000,0.046000,0.065000,0.040000,0.031000,0.079000,0.048000,0.042000,0.087000,0.030000,0.036000
3500,0.230000,0.252000,0.099000,0.062000,0.055000,0.042000,0.040000,0.065000,0.160000,0.098000,0.049000,0.044000,0.040000,0.067000
4000,0.300000,0.340000,0.177000,0.082000,0.065000,0.089000,0.056000,0.072000,0.132000,0.078000,0.064000,0.126000,0.084000,0.046000
4500,0.380000,0.454000,0.174000,0.173000,0.074000,0.065000,0.093000,0.056000,0.163000,0.095000,0.064000,0.062000,0.089000,0.069000
500,0.004000,0.005000,0.006000,0.005000,0.005000,0.004000,0.005000,0.005000,0.006000,0.004000,0.003000,0.006000,0.005000,0.005000
5000,0.468000,0.575000,0.185000,0.108000,0.077000,0.096000,0.070000,0.111000,0.200000,0.162000,0.093000,0.077000,0.077000,0.074000
5500,0.575000,0.710000,0.221000,0.128000,0.104000,0.107000,0.111000,0.073000,0.240000,0.133000,0.180000,0.109000,0.081000,0.088000
6000,0.681000,0.889000,0.281000,0.167000,0.126000,0.094000,0.086000,0.139000,0.322000,0.169000,0.095000,0.086000,0.108000,0.109000
6500,0.801000,1.039000,0.341000,0.188000,0.139000,0.143000,0.124000,0.159000,0.358000,0.197000,0.152000,0.108000,0.120000,0.132000
7000,0.926000,1.264000,0.370000,0.216000,0.178000,0.136000,0.113000,0.150000,0.432000,0.226000,0.176000,0.143000,0.176000,0.121000
7500,1.067000,1.538000,0.429000,0.248000,0.177000,0.137000,0.124000,0.150000,0.515000,0.257000,0.196000,0.138000,0.142000,0.174000
8000,1.219000,1.704000,0.520000,0.255000,0.245000,0.186000,0.160000,0.155000,0.564000,0.318000,0.215000,0.144000,0.149000,0.184000
8500,1.430000,1.947000,0.544000,0.310000,0.192000,0.151000,0.134000,0.193000,0.585000,0.320000,0.198000,0.147000,0.173000,0.173000
9000,1.530000,2.312000,0.607000,0.331000,0.222000,0.182000,0.164000,0.247000,0.647000,0.361000,0.241000,0.202000,0.147000,0.154000
9500,1.710000,2.642000,0.668000,0.377000,0.242000,0.190000,0.188000,0.225000,0.720000,0.400000,0.272000,0.251000,0.187000,0.171000
1000,0.019000,0.020000,0.018000,0.010000,0.010000,0.011000,0.010000,0.012000,0.017000,0.012000,0.010000,0.011000,0.014000,0.014000
10000,1.903000,3.000000,0.734000,0.404000,0.281000,0.202000,0.214000,0.223000,0.792000,0.444000,0.294000,0.221000,0.228000,0.202000
