n,time
5000000,0.054000
10000000,0.102000
15000000,0.156000
20000000,0.207000
25000000,0.252000
30000000,0.302000
35000000,0.353000
40000000,0.403000
45000000,0.453000
50000000,0.502000
55000000,0.553000
60000000,0.604000
65000000,0.653000
70000000,0.721000
75000000,0.754000
80000000,0.804000
85000000,0.863000
90000000,0.904000
95000000,0.983000
100000000,1.004000
5000000,0.055000
10000000,0.101000
15000000,0.151000
20000000,0.208000
25000000,0.252000
30000000,0.302000
35000000,0.352000
40000000,0.404000
45000000,0.452000
50000000,0.503000
55000000,0.553000
60000000,0.603000
65000000,0.654000
70000000,0.707000
75000000,0.755000
80000000,0.804000
85000000,0.854000
90000000,0.904000
95000000,0.959000
100000000,1.004000
5000000,0.056000
10000000,0.104000
15000000,0.151000
20000000,0.202000
25000000,0.252000
30000000,0.311000
35000000,0.353000
40000000,0.402000
45000000,0.452000
50000000,0.503000
55000000,0.553000
60000000,0.602000
65000000,0.654000
70000000,0.703000
75000000,0.753000
80000000,0.830000
85000000,0.854000
90000000,0.906000
95000000,0.954000
100000000,1.006000
5000000,0.056000
10000000,0.102000
15000000,0.152000
20000000,0.202000
25000000,0.252000
30000000,0.303000
35000000,0.352000
40000000,0.403000
45000000,0.452000
50000000,0.507000
55000000,0.552000
60000000,0.603000
65000000,0.658000
70000000,0.704000
75000000,0.753000
80000000,0.805000
85000000,0.854000
90000000,0.905000
95000000,0.956000
100000000,1.004000
5000000,0.055000
10000000,0.102000
15000000,0.151000
20000000,0.201000
25000000,0.252000
30000000,0.302000
35000000,0.352000
40000000,0.403000
45000000,0.453000
50000000,0.502000
55000000,0.552000
60000000,0.603000
65000000,0.653000
70000000,0.705000
75000000,0.753000
80000000,0.804000
85000000,0.854000
90000000,0.939000
95000000,0.954000
100000000,1.004000
5000000,0.056000
10000000,0.106000
15000000,0.153000
20000000,0.202000
25000000,0.251000
30000000,0.302000
35000000,0.355000
40000000,0.402000
45000000,0.453000
50000000,0.503000
55000000,0.553000
60000000,0.603000
65000000,0.653000
70000000,0.717000
75000000,0.754000
80000000,0.804000
85000000,0.879000
90000000,0.908000
95000000,0.954000
100000000,1.004000
5000000,0.056000
10000000,0.103000
15000000,0.151000
20000000,0.202000
25000000,0.259000
30000000,0.302000
35000000,0.352000
40000000,0.402000
45000000,0.452000
50000000,0.503000
55000000,0.554000
60000000,0.610000
65000000,0.654000
70000000,0.704000
75000000,0.753000
80000000,0.804000
85000000,0.854000
90000000,0.904000
95000000,0.956000
100000000,1.004000
5000000,0.054000
10000000,0.101000
15000000,0.152000
20000000,0.202000
25000000,0.252000
30000000,0.302000
35000000,0.353000
40000000,0.402000
45000000,0.452000
50000000,0.502000
55000000,0.552000
60000000,0.603000
65000000,0.674000
70000000,0.703000
75000000,0.754000
80000000,0.822000
85000000,0.858000
90000000,0.925000
95000000,0.956000
100000000,1.005000
5000000,0.055000
10000000,0.102000
15000000,0.151000
20000000,0.202000
25000000,0.252000
30000000,0.302000
35000000,0.352000
40000000,0.402000
45000000,0.453000
50000000,0.509000
55000000,0.553000
60000000,0.603000
65000000,0.654000
70000000,0.704000
75000000,0.765000
80000000,0.804000
85000000,0.855000
90000000,0.904000
95000000,0.954000
100000000,1.046000
5000000,0.055000
10000000,0.102000
15000000,0.152000
20000000,0.202000
25000000,0.251000
30000000,0.302000
35000000,0.352000
40000000,0.404000
45000000,0.452000
50000000,0.503000
55000000,0.563000
60000000,0.611000
65000000,0.665000
70000000,0.705000
75000000,0.754000
80000000,0.804000
85000000,0.874000
90000000,0.904000
95000000,0.955000
100000000,1.005000
5000000,0.056000
10000000,0.102000
15000000,0.151000
20000000,0.202000
25000000,0.259000
30000000,0.303000
35000000,0.352000
40000000,0.402000
45000000,0.453000
50000000,0.504000
55000000,0.586000
60000000,0.603000
65000000,0.653000
70000000,0.704000
75000000,0.755000
80000000,0.805000
85000000,0.889000
90000000,0.904000
95000000,0.962000
100000000,1.005000
5000000,0.057000
10000000,0.101000
15000000,0.151000
20000000,0.202000
25000000,0.252000
30000000,0.309000
35000000,0.373000
40000000,0.403000
45000000,0.452000
50000000,0.512000
55000000,0.553000
60000000,0.603000
65000000,0.654000
70000000,0.705000
75000000,0.753000
80000000,0.804000
85000000,0.853000
90000000,0.904000
95000000,0.956000
100000000,1.004000
5000000,0.054000
10000000,0.101000
15000000,0.152000
20000000,0.203000
25000000,0.252000
30000000,0.302000
35000000,0.353000
40000000,0.402000
45000000,0.453000
50000000,0.503000
55000000,0.553000
60000000,0.604000
65000000,0.653000
70000000,0.703000
75000000,0.754000
80000000,0.803000
85000000,0.854000
90000000,0.905000
95000000,0.954000
100000000,1.006000
5000000,0.055000
10000000,0.102000
15000000,0.152000
20000000,0.202000
25000000,0.255000
30000000,0.302000
35000000,0.352000
40000000,0.403000
45000000,0.452000
50000000,0.502000
55000000,0.552000
60000000,0.603000
65000000,0.653000
70000000,0.703000
75000000,0.756000
80000000,0.804000
85000000,0.854000
90000000,0.904000
95000000,0.954000
100000000,1.005000
5000000,0.054000
10000000,0.102000
15000000,0.152000
20000000,0.201000
25000000,0.258000
30000000,0.302000
35000000,0.352000
40000000,0.402000
45000000,0.452000
50000000,0.503000
55000000,0.553000
60000000,0.603000
65000000,0.658000
70000000,0.724000
75000000,0.753000
80000000,0.807000
85000000,0.856000
90000000,0.913000
95000000,0.960000
100000000,1.053000
5000000,0.057000
10000000,0.102000
15000000,0.151000
20000000,0.207000
25000000,0.251000
30000000,0.303000
35000000,0.353000
40000000,0.402000
45000000,0.453000
50000000,0.502000
55000000,0.553000
60000000,0.639000
65000000,0.653000
70000000,0.703000
75000000,0.756000
80000000,0.835000
85000000,0.854000
90000000,0.907000
95000000,0.955000
100000000,1.004000
5000000,0.056000
10000000,0.104000
15000000,0.151000
20000000,0.202000
25000000,0.252000
30000000,0.302000
35000000,0.361000
40000000,0.408000
45000000,0.453000
50000000,0.502000
55000000,0.553000
60000000,0.603000
65000000,0.653000
70000000,0.705000
75000000,0.754000
80000000,0.808000
85000000,0.855000
90000000,0.904000
95000000,0.954000
100000000,1.004000
5000000,0.055000
10000000,0.102000
15000000,0.152000
20000000,0.201000
25000000,0.251000
30000000,0.302000
35000000,0.352000
40000000,0.402000
45000000,0.455000
50000000,0.503000
55000000,0.553000
60000000,0.603000
65000000,0.653000
70000000,0.703000
75000000,0.754000
80000000,0.804000
85000000,0.854000
90000000,0.904000
95000000,0.957000
100000000,1.005000
5000000,0.056000
10000000,0.102000
15000000,0.151000
20000000,0.202000
25000000,0.255000
30000000,0.301000
35000000,0.354000
40000000,0.485000
45000000,0.452000
50000000,0.502000
55000000,0.555000
60000000,0.603000
65000000,0.653000
70000000,0.704000
75000000,0.754000
80000000,0.806000
85000000,0.854000
90000000,0.911000
95000000,0.956000
100000000,1.006000
5000000,0.054000
10000000,0.101000
15000000,0.152000
20000000,0.202000
25000000,0.252000
30000000,0.302000
35000000,0.352000
40000000,0.403000
45000000,0.452000
50000000,0.503000
55000000,0.553000
60000000,0.603000
65000000,0.654000
70000000,0.704000
75000000,0.753000
80000000,0.814000
85000000,0.854000
90000000,0.907000
95000000,0.955000
100000000,1.005000
5000000,0.056000
10000000,0.102000
15000000,0.152000
20000000,0.201000
25000000,0.252000
30000000,0.303000
35000000,0.352000
40000000,0.402000
45000000,0.454000
50000000,0.503000
55000000,0.553000
60000000,0.604000
65000000,0.654000
70000000,0.703000
75000000,0.754000
80000000,0.804000
