n,threads,time
5000000,3,0.040000
5000000,6,0.023000
5000000,12,0.025000
5000000,24,0.015000
5000000,48,0.023000
5000000,96,0.020000
10000000,3,0.061000
10000000,6,0.043000
10000000,12,0.045000
10000000,24,0.016000
10000000,48,0.021000
10000000,96,0.036000
15000000,3,0.085000
15000000,6,0.062000
15000000,12,0.041000
15000000,24,0.030000
15000000,48,0.032000
15000000,96,0.045000
20000000,3,0.132000
20000000,6,0.065000
20000000,12,0.047000
20000000,24,0.032000
20000000,48,0.031000
20000000,96,0.038000
25000000,3,0.140000
25000000,6,0.081000
25000000,12,0.044000
25000000,24,0.033000
25000000,48,0.054000
25000000,96,0.060000
30000000,3,0.181000
30000000,6,0.090000
30000000,12,0.076000
30000000,24,0.052000
30000000,48,0.042000
30000000,96,0.063000
35000000,3,0.192000
35000000,6,0.125000
35000000,12,0.088000
35000000,24,0.067000
35000000,48,0.056000
35000000,96,0.064000
40000000,3,0.211000
40000000,6,0.117000
40000000,12,0.102000
40000000,24,0.040000
40000000,48,0.063000
40000000,96,0.052000
45000000,3,0.230000
45000000,6,0.141000
45000000,12,0.072000
45000000,24,0.052000
45000000,48,0.086000
45000000,96,0.066000
50000000,3,0.269000
50000000,6,0.137000
50000000,12,0.085000
50000000,24,0.075000
50000000,48,0.064000
50000000,96,0.092000
55000000,3,0.293000
55000000,6,0.149000
55000000,12,0.098000
55000000,24,0.060000
55000000,48,0.082000
55000000,96,0.069000
60000000,3,0.296000
60000000,6,0.159000
60000000,12,0.119000
60000000,24,0.096000
60000000,48,0.080000
60000000,96,0.080000
65000000,3,0.327000
65000000,6,0.183000
65000000,12,0.099000
65000000,24,0.067000
65000000,48,0.071000
65000000,96,0.067000
70000000,3,0.354000
70000000,6,0.206000
70000000,12,0.107000
70000000,24,0.081000
70000000,48,0.096000
70000000,96,0.102000
75000000,3,0.373000
75000000,6,0.208000
75000000,12,0.154000
75000000,24,0.106000
75000000,48,0.081000
75000000,96,0.105000
80000000,3,0.400000
80000000,6,0.230000
80000000,12,0.124000
80000000,24,0.087000
80000000,48,0.084000
80000000,96,0.109000
85000000,3,0.429000
85000000,6,0.228000
85000000,12,0.129000
85000000,24,0.092000
85000000,48,0.100000
85000000,96,0.097000
90000000,3,0.463000
90000000,6,0.258000
90000000,12,0.146000
90000000,24,0.076000
90000000,48,0.095000
90000000,96,0.093000
95000000,3,0.497000
95000000,6,0.260000
95000000,12,0.141000
95000000,24,0.077000
95000000,48,0.112000
95000000,96,0.097000
100000000,3,0.512000
100000000,6,0.282000
100000000,12,0.151000
100000000,24,0.104000
100000000,48,0.119000
100000000,96,0.132000
5000000,3,0.039000
5000000,6,0.023000
5000000,12,0.027000
5000000,24,0.015000
5000000,48,0.021000
5000000,96,0.019000
10000000,3,0.062000
10000000,6,0.038000
10000000,12,0.042000
10000000,24,0.028000
10000000,48,0.022000
10000000,96,0.035000
15000000,3,0.092000
15000000,6,0.082000
15000000,12,0.031000
15000000,24,0.021000
15000000,48,0.039000
15000000,96,0.041000
20000000,3,0.110000
20000000,6,0.063000
20000000,12,0.043000
20000000,24,0.033000
20000000,48,0.025000
20000000,96,0.040000
25000000,3,0.163000
25000000,6,0.090000
25000000,12,0.048000
25000000,24,0.039000
25000000,48,0.034000
25000000,96,0.050000
30000000,3,0.165000
30000000,6,0.106000
30000000,12,0.087000
30000000,24,0.033000
30000000,48,0.048000
30000000,96,0.071000
35000000,3,0.190000
35000000,6,0.112000
35000000,12,0.094000
35000000,24,0.039000
35000000,48,0.059000
35000000,96,0.069000
40000000,3,0.203000
40000000,6,0.126000
40000000,12,0.085000
40000000,24,0.063000
40000000,48,0.057000
40000000,96,0.065000
45000000,3,0.237000
45000000,6,0.125000
45000000,12,0.080000
45000000,24,0.061000
45000000,48,0.066000
45000000,96,0.066000
50000000,3,0.270000
50000000,6,0.135000
50000000,12,0.109000
50000000,24,0.083000
50000000,48,0.074000
50000000,96,0.080000
55000000,3,0.283000
55000000,6,0.165000
55000000,12,0.088000
55000000,24,0.059000
55000000,48,0.067000
55000000,96,0.077000
60000000,3,0.310000
60000000,6,0.170000
60000000,12,0.094000
60000000,24,0.086000
60000000,48,0.089000
60000000,96,0.080000
65000000,3,0.337000
65000000,6,0.194000
65000000,12,0.123000
65000000,24,0.090000
65000000,48,0.083000
65000000,96,0.093000
70000000,3,0.351000
70000000,6,0.197000
70000000,12,0.110000
70000000,24,0.090000
70000000,48,0.087000
70000000,96,0.107000
75000000,3,0.384000
75000000,6,0.201000
75000000,12,0.145000
75000000,24,0.076000
75000000,48,0.085000
75000000,96,0.096000
80000000,3,0.406000
80000000,6,0.220000
80000000,12,0.123000
80000000,24,0.105000
80000000,48,0.106000
80000000,96,0.086000
85000000,3,0.427000
85000000,6,0.225000
85000000,12,0.138000
85000000,24,0.079000
85000000,48,0.084000
85000000,96,0.099000
90000000,3,0.454000
90000000,6,0.249000
90000000,12,0.136000
90000000,24,0.075000
90000000,48,0.096000
90000000,96,0.078000
95000000,3,0.492000
95000000,6,0.250000
95000000,12,0.157000
95000000,24,0.080000
95000000,48,0.108000
95000000,96,0.100000
100000000,3,0.507000
100000000,6,0.269000
100000000,12,0.211000
100000000,24,0.104000
100000000,48,0.097000
100000000,96,0.108000
5000000,3,0.042000
5000000,6,0.024000
5000000,12,0.022000
5000000,24,0.015000
5000000,48,0.018000
5000000,96,0.025000
10000000,3,0.060000
10000000,6,0.045000
10000000,12,0.049000
10000000,24,0.021000
10000000,48,0.028000
10000000,96,0.039000
15000000,3,0.098000
15000000,6,0.066000
15000000,12,0.042000
15000000,24,0.028000
15000000,48,0.030000
15000000,96,0.035000
20000000,3,0.120000
20000000,6,0.079000
20000000,12,0.038000
20000000,24,0.036000
20000000,48,0.046000
20000000,96,0.049000
25000000,3,0.136000
25000000,6,0.081000
25000000,12,0.070000
25000000,24,0.045000
25000000,48,0.042000
25000000,96,0.070000
30000000,3,0.157000
30000000,6,0.094000
30000000,12,0.081000
30000000,24,0.033000
30000000,48,0.048000
30000000,96,0.051000
35000000,3,0.195000
35000000,6,0.099000
35000000,12,0.058000
35000000,24,0.057000
35000000,48,0.054000
35000000,96,0.058000
40000000,3,0.211000
40000000,6,0.134000
40000000,12,0.064000
40000000,24,0.069000
40000000,48,0.054000
40000000,96,0.063000
45000000,3,0.238000
45000000,6,0.146000
45000000,12,0.095000
45000000,24,0.053000
45000000,48,0.074000
45000000,96,0.066000
50000000,3,0.255000
50000000,6,0.138000
50000000,12,0.093000
50000000,24,0.053000
50000000,48,0.079000
50000000,96,0.106000
55000000,3,0.286000
55000000,6,0.168000
55000000,12,0.098000
55000000,24,0.065000
55000000,48,0.083000
55000000,96,0.084000
60000000,3,0.313000
60000000,6,0.174000
60000000,12,0.094000
60000000,24,0.064000
60000000,48,0.086000
60000000,96,0.078000
65000000,3,0.344000
65000000,6,0.187000
65000000,12,0.121000
65000000,24,0.062000
65000000,48,0.071000
65000000,96,0.118000
70000000,3,0.371000
70000000,6,0.189000
70000000,12,0.120000
70000000,24,0.072000
70000000,48,0.063000
70000000,96,0.102000
75000000,3,0.367000
75000000,6,0.214000
75000000,12,0.113000
75000000,24,0.105000
75000000,48,0.091000
75000000,96,0.109000
80000000,3,0.420000
80000000,6,0.214000
80000000,12,0.146000
80000000,24,0.078000
80000000,48,0.109000
80000000,96,0.096000
85000000,3,0.435000
85000000,6,0.231000
85000000,12,0.144000
85000000,24,0.108000
85000000,48,0.112000
85000000,96,0.096000
90000000,3,0.454000
90000000,6,0.244000
90000000,12,0.135000
90000000,24,0.088000
90000000,48,0.129000
90000000,96,0.116000
95000000,3,0.483000
95000000,6,0.251000
95000000,12,0.162000
95000000,24,0.096000
95000000,48,0.106000
95000000,96,0.095000
100000000,3,0.503000
100000000,6,0.265000
100000000,12,0.150000
100000000,24,0.116000
100000000,48,0.107000
100000000,96,0.112000
5000000,3,0.040000
5000000,6,0.022000
5000000,12,0.019000
5000000,24,0.017000
5000000,48,0.023000
5000000,96,0.018000
10000000,3,0.062000
10000000,6,0.037000
10000000,12,0.039000
10000000,24,0.027000
10000000,48,0.026000
10000000,96,0.031000
15000000,3,0.088000
15000000,6,0.052000
15000000,12,0.049000
15000000,24,0.028000
15000000,48,0.025000
15000000,96,0.045000
20000000,3,0.109000
20000000,6,0.061000
20000000,12,0.071000
20000000,24,0.035000
20000000,48,0.051000
20000000,96,0.047000
25000000,3,0.143000
25000000,6,0.075000
25000000,12,0.044000
25000000,24,0.046000
25000000,48,0.052000
25000000,96,0.043000
30000000,3,0.164000
30000000,6,0.097000
