n,row-seq,col-seq,row-par-3,row-par-6,row-par-12,row-par-24,row-par-48,row-par-96,col-par-3,col-par-6,col-par-12,col-par-24,col-par-48,col-par-96
1000,0.018632,0.020136,0.050704,0.025725,0.030765,0.021310,0.017407,0.013497,0.048880,0.026009,0.039102,0.026928,0.017646,0.015045
10000,1.899944,2.898584,2.099750,2.200416,2.523408,3.752543,3.237028,7.727859,2.367716,2.395965,2.656100,3.145680,3.358467,3.758351
1500,0.042152,0.042491,0.075749,0.087464,0.096240,0.100223,0.039991,0.035198,0.064418,0.080687,0.085991,0.094420,0.027329,0.025646
2000,0.074897,0.077963,0.106975,0.142063,0.144627,0.153564,0.069792,0.130850,0.099302,0.128496,0.147762,0.157181,0.105055,0.067904
2500,0.117147,0.123157,0.157837,0.179438,0.225950,0.217082,0.315054,0.121752,0.156726,0.174646,0.212818,0.186243,0.180638,0.199345
3000,0.168742,0.179975,0.203777,0.250968,0.316174,0.250236,0.396902,0.345907,0.214496,0.244697,0.278869,0.274228,0.364268,0.405467
3500,0.229700,0.251318,0.275554,0.318122,0.354545,0.545160,0.544394,0.285734,0.349761,0.309072,0.383639,0.540523,0.503742,0.331256
4000,0.299966,0.340313,0.411031,0.394848,0.489527,0.452569,0.540579,0.408937,0.369532,0.389966,0.509888,0.512422,0.476212,0.616272
4500,0.379958,0.453783,0.424392,0.556331,0.576122,0.748578,0.608773,0.797365,0.465981,0.487582,0.565760,0.679969,0.620924,0.678761
500,0.004776,0.004852,0.009187,0.003844,0.002562,0.003935,0.009592,0.016775,0.005497,0.007638,0.007907,0.002744,0.006150,0.016120
5000,0.467846,0.574811,0.524185,0.564520,0.657545,0.766555,0.998646,0.728592,0.571518,0.638233,0.722878,0.894400,0.838510,0.720912
5500,0.574780,0.709120,0.634185,0.681994,0.815009,0.874713,0.910853,1.154319,0.660456,0.711716,0.794389,0.958723,1.083883,1.109048
6000,0.680574,0.889065,0.806908,0.920295,1.276101,1.397895,1.531764,4.349204,0.868089,0.910244,0.917812,1.288010,1.528580,1.825388
6500,0.800047,1.038738,0.957113,1.033356,1.121012,2.813826,1.521461,4.704738,0.994893,1.064731,1.124346,1.630094,1.760723,2.062078
